ID,CheckHP,CheckAtk,CheckDef,CheckWeight,CheckSpeed,CheckIAS,CheckCRT,CheckMLT,CheckMDK,CheckMFE,CheckMWR,CheckMTR,CheckRLT,CheckRDK,CheckRFE,CheckRWR,CheckRTR,CheckBlood,CheckSkillUp,CheckBounsSkill
1067,V,V,V,,,,,,V,,,,,,,,,,,
1068,V,V,V,,,,,,,V,,,,,,,,,,
1069,V,V,V,,,,,,,,V,,,,,,,,,
1070,V,V,V,,,,,,,,,V,,,,,,,,
1071,V,V,V,,,,,,,,,,,,,,,V,,
1072,V,V,,,,V,V,,,,,,,,,,,,,
1073,V,V,,,,V,,V,,,,,,,,,,,,
1074,V,V,,,,V,,,V,,,,,,,,,,,
1075,V,V,,,,V,,,,V,,,,,,,,,,
1076,V,V,,,,V,,,,,V,,,,,,,,,
1077,V,V,,,,V,,,,,,V,,,,,,,,
1078,V,V,,,,V,,,,,,,,,,,,V,,
1079,V,V,,,,,V,V,,,,,,,,,,,,
1080,V,V,,,,,V,,V,,,,,,,,,,,
1081,V,V,,,,,V,,,V,,,,,,,,,,
1082,V,V,,,,,V,,,,V,,,,,,,,,
1083,V,V,,,,,V,,,,,V,,,,,,,,
1084,V,V,,,,,V,,,,,,,,,,,V,,
1085,V,V,,,,,,V,V,,,,,,,,,,,
1086,V,V,,,,,,V,,V,,,,,,,,,,
1087,V,V,,,,,,V,,,V,,,,,,,,,
1088,V,V,,,,,,V,,,,V,,,,,,,,
1089,V,V,,,,,,V,,,,,,,,,,V,,
1090,V,V,,,,,,,V,V,,,,,,,,,,
1091,V,V,,,,,,,V,,V,,,,,,,,,
1092,V,V,,,,,,,V,,,V,,,,,,,,
1093,V,V,,,,,,,V,,,,,,,,,V,,
1094,V,V,,,,,,,,V,V,,,,,,,,,
1095,V,V,,,,,,,,V,,V,,,,,,,,
1096,V,V,,,,,,,,V,,,,,,,,V,,
1097,V,V,,,,,,,,,V,V,,,,,,,,
1098,V,V,,,,,,,,,V,,,,,,,V,,
1099,V,V,,,,,,,,,,V,,,,,,V,,
1100,V,,V,,,V,V,,,,,,,,,,,,,
1101,V,,V,,,V,,V,,,,,,,,,,,,
1102,V,,V,,,V,,,V,,,,,,,,,,,
1103,V,,V,,,V,,,,V,,,,,,,,,,
1104,V,,V,,,V,,,,,V,,,,,,,,,
1105,V,,V,,,V,,,,,,V,,,,,,,,
1106,V,,V,,,V,,,,,,,,,,,,V,,
1107,V,,V,,,,V,V,,,,,,,,,,,,
1108,V,,V,,,,V,,V,,,,,,,,,,,
1109,V,,V,,,,V,,,V,,,,,,,,,,
1110,V,,V,,,,V,,,,V,,,,,,,,,
1111,V,,V,,,,V,,,,,V,,,,,,,,
1112,V,,V,,,,V,,,,,,,,,,,V,,
1113,V,,V,,,,,V,V,,,,,,,,,,,
1114,V,,V,,,,,V,,V,,,,,,,,,,
1115,V,,V,,,,,V,,,V,,,,,,,,,
1116,V,,V,,,,,V,,,,V,,,,,,,,
1117,V,,V,,,,,V,,,,,,,,,,V,,
1118,V,,V,,,,,,V,V,,,,,,,,,,
1119,V,,V,,,,,,V,,V,,,,,,,,,
1120,V,,V,,,,,,V,,,V,,,,,,,,
1121,V,,V,,,,,,V,,,,,,,,,V,,
1122,V,,V,,,,,,,V,V,,,,,,,,,
1123,V,,V,,,,,,,V,,V,,,,,,,,
1124,V,,V,,,,,,,V,,,,,,,,V,,
1125,V,,V,,,,,,,,V,V,,,,,,,,
1126,V,,V,,,,,,,,V,,,,,,,V,,
1127,V,,V,,,,,,,,,V,,,,,,V,,
1128,V,,,,,V,V,V,,,,,,,,,,,,
1129,V,,,,,V,V,,V,,,,,,,,,,,
1130,V,,,,,V,V,,,V,,,,,,,,,,
1131,V,,,,,V,V,,,,V,,,,,,,,,
1132,V,,,,,V,V,,,,,V,,,,,,,,
1133,V,,,,,V,V,,,,,,,,,,,V,,
1134,V,,,,,V,,V,V,,,,,,,,,,,
1135,V,,,,,V,,V,,V,,,,,,,,,,
1136,V,,,,,V,,V,,,V,,,,,,,,,
1137,V,,,,,V,,V,,,,V,,,,,,,,
1138,V,,,,,V,,V,,,,,,,,,,V,,
1139,V,,,,,V,,,V,V,,,,,,,,,,
1140,V,,,,,V,,,V,,V,,,,,,,,,
1141,V,,,,,V,,,V,,,V,,,,,,,,
1142,V,,,,,V,,,V,,,,,,,,,V,,
1143,V,,,,,V,,,,V,V,,,,,,,,,
1144,V,,,,,V,,,,V,,V,,,,,,,,
1145,V,,,,,V,,,,V,,,,,,,,V,,
1146,V,,,,,V,,,,,V,V,,,,,,,,
1147,V,,,,,V,,,,,V,,,,,,,V,,
1148,V,,,,,V,,,,,,V,,,,,,V,,
1149,V,,,,,,V,V,V,,,,,,,,,,,
1150,V,,,,,,V,V,,V,,,,,,,,,,
1151,V,,,,,,V,V,,,V,,,,,,,,,
1152,V,,,,,,V,V,,,,V,,,,,,,,
1153,V,,,,,,V,V,,,,,,,,,,V,,
1154,V,,,,,,V,,V,V,,,,,,,,,,
1155,V,,,,,,V,,V,,V,,,,,,,,,
1156,V,,,,,,V,,V,,,V,,,,,,,,
1157,V,,,,,,V,,V,,,,,,,,,V,,
1158,V,,,,,,V,,,V,V,,,,,,,,,
1159,V,,,,,,V,,,V,,V,,,,,,,,
1160,V,,,,,,V,,,V,,,,,,,,V,,
1161,V,,,,,,V,,,,V,V,,,,,,,,
1162,V,,,,,,V,,,,V,,,,,,,V,,
1163,V,,,,,,V,,,,,V,,,,,,V,,
1164,V,,,,,,,V,V,V,,,,,,,,,,
1165,V,,,,,,,V,V,,V,,,,,,,,,
1166,V,,,,,,,V,V,,,V,,,,,,,,
1167,V,,,,,,,V,V,,,,,,,,,V,,
1168,V,,,,,,,V,,V,V,,,,,,,,,
1169,V,,,,,,,V,,V,,V,,,,,,,,
1170,V,,,,,,,V,,V,,,,,,,,V,,
1171,V,,,,,,,V,,,V,V,,,,,,,,
1172,V,,,,,,,V,,,V,,,,,,,V,,
1173,V,,,,,,,V,,,,V,,,,,,V,,
1174,V,,,,,,,,V,V,V,,,,,,,,,
1175,V,,,,,,,,V,V,,V,,,,,,,,
1176,V,,,,,,,,V,V,,,,,,,,V,,
1177,V,,,,,,,,V,,V,V,,,,,,,,
1178,V,,,,,,,,V,,V,,,,,,,V,,
1179,V,,,,,,,,V,,,V,,,,,,V,,
1180,V,,,,,,,,,V,V,V,,,,,,,,
1181,V,,,,,,,,,V,V,,,,,,,V,,
1182,V,,,,,,,,,V,,V,,,,,,V,,
1183,V,,,,,,,,,,V,V,,,,,,V,,
1184,,V,V,,,V,V,,,,,,,,,,,,,
1185,,V,V,,,V,,V,,,,,,,,,,,,
1186,,V,V,,,V,,,V,,,,,,,,,,,
1187,,V,V,,,V,,,,V,,,,,,,,,,
1188,,V,V,,,V,,,,,V,,,,,,,,,
1189,,V,V,,,V,,,,,,V,,,,,,,,
1190,,V,V,,,V,,,,,,,,,,,,V,,
1191,,V,V,,,,V,V,,,,,,,,,,,,
1192,,V,V,,,,V,,V,,,,,,,,,,,
1193,,V,V,,,,V,,,V,,,,,,,,,,
1194,,V,V,,,,V,,,,V,,,,,,,,,
1195,,V,V,,,,V,,,,,V,,,,,,,,
1196,,V,V,,,,V,,,,,,,,,,,V,,
1197,,V,V,,,,,V,V,,,,,,,,,,,
1198,,V,V,,,,,V,,V,,,,,,,,,,
1199,,V,V,,,,,V,,,V,,,,,,,,,
1200,,V,V,,,,,V,,,,V,,,,,,,,
1201,,V,V,,,,,V,,,,,,,,,,V,,
1202,,V,V,,,,,,V,V,,,,,,,,,,
1203,,V,V,,,,,,V,,V,,,,,,,,,
1204,,V,V,,,,,,V,,,V,,,,,,,,
1205,,V,V,,,,,,V,,,,,,,,,V,,
1206,,V,V,,,,,,,V,V,,,,,,,,,
1207,,V,V,,,,,,,V,,V,,,,,,,,
1208,,V,V,,,,,,,V,,,,,,,,V,,
1209,,V,V,,,,,,,,V,V,,,,,,,,
1210,,V,V,,,,,,,,V,,,,,,,V,,
1211,,V,V,,,,,,,,,V,,,,,,V,,
1212,,V,,,,V,V,V,,,,,,,,,,,,
1213,,V,,,,V,V,,V,,,,,,,,,,,
1214,,V,,,,V,V,,,V,,,,,,,,,,
1215,,V,,,,V,V,,,,V,,,,,,,,,
1216,,V,,,,V,V,,,,,V,,,,,,,,
1217,,V,,,,V,V,,,,,,,,,,,V,,
1218,,V,,,,V,,V,V,,,,,,,,,,,
1219,,V,,,,V,,V,,V,,,,,,,,,,
1220,,V,,,,V,,V,,,V,,,,,,,,,
1221,,V,,,,V,,V,,,,V,,,,,,,,
1222,,V,,,,V,,V,,,,,,,,,,V,,
1223,,V,,,,V,,,V,V,,,,,,,,,,
1224,,V,,,,V,,,V,,V,,,,,,,,,
1225,,V,,,,V,,,V,,,V,,,,,,,,
1226,,V,,,,V,,,V,,,,,,,,,V,,
1227,,V,,,,V,,,,V,V,,,,,,,,,
1228,,V,,,,V,,,,V,,V,,,,,,,,
1229,,V,,,,V,,,,V,,,,,,,,V,,
1230,,V,,,,V,,,,,V,V,,,,,,,,
1231,,V,,,,V,,,,,V,,,,,,,V,,
1232,,V,,,,V,,,,,,V,,,,,,V,,
1233,,V,,,,,V,V,V,,,,,,,,,,,
1234,,V,,,,,V,V,,V,,,,,,,,,,
1235,,V,,,,,V,V,,,V,,,,,,,,,
1236,,V,,,,,V,V,,,,V,,,,,,,,
1237,,V,,,,,V,V,,,,,,,,,,V,,
1238,,V,,,,,V,,V,V,,,,,,,,,,
1239,,V,,,,,V,,V,,V,,,,,,,,,
1240,,V,,,,,V,,V,,,V,,,,,,,,
1241,,V,,,,,V,,V,,,,,,,,,V,,
1242,,V,,,,,V,,,V,V,,,,,,,,,
1243,,V,,,,,V,,,V,,V,,,,,,,,
1244,,V,,,,,V,,,V,,,,,,,,V,,
1245,,V,,,,,V,,,,V,V,,,,,,,,
1246,,V,,,,,V,,,,V,,,,,,,V,,
1247,,V,,,,,V,,,,,V,,,,,,V,,
1248,,V,,,,,,V,V,V,,,,,,,,,,
1249,,V,,,,,,V,V,,V,,,,,,,,,
1250,,V,,,,,,V,V,,,V,,,,,,,,
1251,,V,,,,,,V,V,,,,,,,,,V,,
1252,,V,,,,,,V,,V,V,,,,,,,,,
1253,,V,,,,,,V,,V,,V,,,,,,,,
1254,,V,,,,,,V,,V,,,,,,,,V,,
1255,,V,,,,,,V,,,V,V,,,,,,,,
1256,,V,,,,,,V,,,V,,,,,,,V,,
1257,,V,,,,,,V,,,,V,,,,,,V,,
1258,,V,,,,,,,V,V,V,,,,,,,,,
1259,,V,,,,,,,V,V,,V,,,,,,,,
1260,,V,,,,,,,V,V,,,,,,,,V,,
1261,,V,,,,,,,V,,V,V,,,,,,,,
1262,,V,,,,,,,V,,V,,,,,,,V,,
1263,,V,,,,,,,V,,,V,,,,,,V,,
1264,,V,,,,,,,,V,V,V,,,,,,,,
1265,,V,,,,,,,,V,V,,,,,,,V,,
1266,,V,,,,,,,,V,,V,,,,,,V,,
1267,,V,,,,,,,,,V,V,,,,,,V,,
1268,,,V,,,V,V,V,,,,,,,,,,,,
1269,,,V,,,V,V,,V,,,,,,,,,,,
1270,,,V,,,V,V,,,V,,,,,,,,,,
1271,,,V,,,V,V,,,,V,,,,,,,,,
1272,,,V,,,V,V,,,,,V,,,,,,,,
1273,,,V,,,V,V,,,,,,,,,,,V,,
1274,,,V,,,V,,V,V,,,,,,,,,,,
1275,,,V,,,V,,V,,V,,,,,,,,,,
1276,,,V,,,V,,V,,,V,,,,,,,,,
1277,,,V,,,V,,V,,,,V,,,,,,,,
1278,,,V,,,V,,V,,,,,,,,,,V,,
1279,,,V,,,V,,,V,V,,,,,,,,,,
1280,,,V,,,V,,,V,,V,,,,,,,,,
1281,,,V,,,V,,,V,,,V,,,,,,,,
1282,,,V,,,V,,,V,,,,,,,,,V,,
1283,,,V,,,V,,,,V,V,,,,,,,,,
1284,,,V,,,V,,,,V,,V,,,,,,,,
1285,,,V,,,V,,,,V,,,,,,,,V,,
1286,,,V,,,V,,,,,V,V,,,,,,,,
1287,,,V,,,V,,,,,V,,,,,,,V,,
1288,,,V,,,V,,,,,,V,,,,,,V,,
1289,,,V,,,,V,V,V,,,,,,,,,,,
1290,,,V,,,,V,V,,V,,,,,,,,,,
1291,,,V,,,,V,V,,,V,,,,,,,,,
1292,,,V,,,,V,V,,,,V,,,,,,,,
1293,,,V,,,,V,V,,,,,,,,,,V,,
1294,,,V,,,,V,,V,V,,,,,,,,,,
1295,,,V,,,,V,,V,,V,,,,,,,,,
1296,,,V,,,,V,,V,,,V,,,,,,,,
1297,,,V,,,,V,,V,,,,,,,,,V,,
1298,,,V,,,,V,,,V,V,,,,,,,,,
1299,,,V,,,,V,,,V,,V,,,,,,,,
1300,,,V,,,,V,,,V,,,,,,,,V,,
1301,,,V,,,,V,,,,V,V,,,,,,,,
1302,,,V,,,,V,,,,V,,,,,,,V,,
1303,,,V,,,,V,,,,,V,,,,,,V,,
1304,,,V,,,,,V,V,V,,,,,,,,,,
1305,,,V,,,,,V,V,,V,,,,,,,,,
1306,,,V,,,,,V,V,,,V,,,,,,,,
1307,,,V,,,,,V,V,,,,,,,,,V,,
1308,,,V,,,,,V,,V,V,,,,,,,,,
1309,,,V,,,,,V,,V,,V,,,,,,,,
1310,,,V,,,,,V,,V,,,,,,,,V,,
1311,,,V,,,,,V,,,V,V,,,,,,,,
1312,,,V,,,,,V,,,V,,,,,,,V,,
1313,,,V,,,,,V,,,,V,,,,,,V,,
1314,,,V,,,,,,V,V,V,,,,,,,,,
1315,,,V,,,,,,V,V,,V,,,,,,,,
1316,,,V,,,,,,V,V,,,,,,,,V,,
1317,,,V,,,,,,V,,V,V,,,,,,,,
1318,,,V,,,,,,V,,V,,,,,,,V,,
1319,,,V,,,,,,V,,,V,,,,,,V,,
1320,,,V,,,,,,,V,V,V,,,,,,,,
1321,,,V,,,,,,,V,V,,,,,,,V,,
1322,,,V,,,,,,,V,,V,,,,,,V,,
1323,,,V,,,,,,,,V,V,,,,,,V,,
1324,,,,,,V,V,V,V,,,,,,,,,,,
1325,,,,,,V,V,V,,V,,,,,,,,,,
1326,,,,,,V,V,V,,,V,,,,,,,,,
1327,,,,,,V,V,V,,,,V,,,,,,,,
1328,,,,,,V,V,V,,,,,,,,,,V,,
1329,,,,,,V,V,,V,V,,,,,,,,,,
1330,,,,,,V,V,,V,,V,,,,,,,,,
1331,,,,,,V,V,,V,,,V,,,,,,,,
1332,,,,,,V,V,,V,,,,,,,,,V,,
1333,,,,,,V,V,,,V,V,,,,,,,,,
1334,,,,,,V,V,,,V,,V,,,,,,,,
1335,,,,,,V,V,,,V,,,,,,,,V,,
1336,,,,,,V,V,,,,V,V,,,,,,,,
1337,,,,,,V,V,,,,V,,,,,,,V,,
1338,,,,,,V,V,,,,,V,,,,,,V,,
1339,,,,,,V,,V,V,V,,,,,,,,,,
1340,,,,,,V,,V,V,,V,,,,,,,,,
1341,,,,,,V,,V,V,,,V,,,,,,,,
1342,,,,,,V,,V,V,,,,,,,,,V,,
1343,,,,,,V,,V,,V,V,,,,,,,,,
1344,,,,,,V,,V,,V,,V,,,,,,,,
1345,,,,,,V,,V,,V,,,,,,,,V,,
1346,,,,,,V,,V,,,V,V,,,,,,,,
1347,,,,,,V,,V,,,V,,,,,,,V,,
1348,,,,,,V,,V,,,,V,,,,,,V,,
1349,,,,,,V,,,V,V,V,,,,,,,,,
1350,,,,,,V,,,V,V,,V,,,,,,,,
1351,,,,,,V,,,V,V,,,,,,,,V,,
1352,,,,,,V,,,V,,V,V,,,,,,,,
1353,,,,,,V,,,V,,V,,,,,,,V,,
1354,,,,,,V,,,V,,,V,,,,,,V,,
1355,,,,,,V,,,,V,V,V,,,,,,,,
1356,,,,,,V,,,,V,V,,,,,,,V,,
1357,,,,,,V,,,,V,,V,,,,,,V,,
1358,,,,,,V,,,,,V,V,,,,,,V,,
1359,,,,,,,V,V,V,V,,,,,,,,,,
1360,,,,,,,V,V,V,,V,,,,,,,,,
1361,,,,,,,V,V,V,,,V,,,,,,,,
1362,,,,,,,V,V,V,,,,,,,,,V,,
1363,,,,,,,V,V,,V,V,,,,,,,,,
1364,,,,,,,V,V,,V,,V,,,,,,,,
1365,,,,,,,V,V,,V,,,,,,,,V,,
1366,,,,,,,V,V,,,V,V,,,,,,,,
1367,,,,,,,V,V,,,V,,,,,,,V,,
1368,,,,,,,V,V,,,,V,,,,,,V,,
1369,,,,,,,V,,V,V,V,,,,,,,,,
1370,,,,,,,V,,V,V,,V,,,,,,,,
1371,,,,,,,V,,V,V,,,,,,,,V,,
1372,,,,,,,V,,V,,V,V,,,,,,,,
1373,,,,,,,V,,V,,V,,,,,,,V,,
1374,,,,,,,V,,V,,,V,,,,,,V,,
1375,,,,,,,V,,,V,V,V,,,,,,,,
1376,,,,,,,V,,,V,V,,,,,,,V,,
1377,,,,,,,V,,,V,,V,,,,,,V,,
1378,,,,,,,V,,,,V,V,,,,,,V,,
1379,,,,,,,,V,V,V,V,,,,,,,,,
1380,,,,,,,,V,V,V,,V,,,,,,,,
1381,,,,,,,,V,V,V,,,,,,,,V,,
1382,,,,,,,,V,V,,V,V,,,,,,,,
1383,,,,,,,,V,V,,V,,,,,,,V,,
1384,,,,,,,,V,V,,,V,,,,,,V,,
1385,,,,,,,,V,,V,V,V,,,,,,,,
1386,,,,,,,,V,,V,V,,,,,,,V,,
1387,,,,,,,,V,,V,,V,,,,,,V,,
1388,,,,,,,,V,,,V,V,,,,,,V,,
1389,,,,,,,,,V,V,V,V,,,,,,,,
1390,,,,,,,,,V,V,V,,,,,,,V,,
1391,,,,,,,,,V,V,,V,,,,,,V,,
1392,,,,,,,,,V,,V,V,,,,,,V,,
1393,,,,,,,,,,V,V,V,,,,,,V,,
1394,V,V,V,,,V,V,,,,,,,,,,,,,
1395,V,V,V,,,V,,V,,,,,,,,,,,,
1396,V,V,V,,,V,,,V,,,,,,,,,,,
1397,V,V,V,,,V,,,,V,,,,,,,,,,
1398,V,V,V,,,V,,,,,V,,,,,,,,,
1399,V,V,V,,,V,,,,,,V,,,,,,,,
1400,V,V,V,,,V,,,,,,,,,,,,V,,
1401,V,V,V,,,,V,V,,,,,,,,,,,,
1402,V,V,V,,,,V,,V,,,,,,,,,,,
1403,V,V,V,,,,V,,,V,,,,,,,,,,
1404,V,V,V,,,,V,,,,V,,,,,,,,,
1405,V,V,V,,,,V,,,,,V,,,,,,,,
1406,V,V,V,,,,V,,,,,,,,,,,V,,
1407,V,V,V,,,,,V,V,,,,,,,,,,,
1408,V,V,V,,,,,V,,V,,,,,,,,,,
1409,V,V,V,,,,,V,,,V,,,,,,,,,
1410,V,V,V,,,,,V,,,,V,,,,,,,,
1411,V,V,V,,,,,V,,,,,,,,,,V,,
1412,V,V,V,,,,,,V,V,,,,,,,,,,
1413,V,V,V,,,,,,V,,V,,,,,,,,,
1414,V,V,V,,,,,,V,,,V,,,,,,,,
1415,V,V,V,,,,,,V,,,,,,,,,V,,
1416,V,V,V,,,,,,,V,V,,,,,,,,,
1417,V,V,V,,,,,,,V,,V,,,,,,,,
1418,V,V,V,,,,,,,V,,,,,,,,V,,
1419,V,V,V,,,,,,,,V,V,,,,,,,,
1420,V,V,V,,,,,,,,V,,,,,,,V,,
1421,V,V,V,,,,,,,,,V,,,,,,V,,
1422,V,V,,,,V,V,V,,,,,,,,,,,,
1423,V,V,,,,V,V,,V,,,,,,,,,,,
1424,V,V,,,,V,V,,,V,,,,,,,,,,
1425,V,V,,,,V,V,,,,V,,,,,,,,,
1426,V,V,,,,V,V,,,,,V,,,,,,,,
1427,V,V,,,,V,V,,,,,,,,,,,V,,
1428,V,V,,,,V,,V,V,,,,,,,,,,,
1429,V,V,,,,V,,V,,V,,,,,,,,,,
1430,V,V,,,,V,,V,,,V,,,,,,,,,
1431,V,V,,,,V,,V,,,,V,,,,,,,,
1432,V,V,,,,V,,V,,,,,,,,,,V,,
1433,V,V,,,,V,,,V,V,,,,,,,,,,
1434,V,V,,,,V,,,V,,V,,,,,,,,,
1435,V,V,,,,V,,,V,,,V,,,,,,,,
1436,V,V,,,,V,,,V,,,,,,,,,V,,
1437,V,V,,,,V,,,,V,V,,,,,,,,,
1438,V,V,,,,V,,,,V,,V,,,,,,,,
1439,V,V,,,,V,,,,V,,,,,,,,V,,
1440,V,V,,,,V,,,,,V,V,,,,,,,,
1441,V,V,,,,V,,,,,V,,,,,,,V,,
1442,V,V,,,,V,,,,,,V,,,,,,V,,
1443,V,V,,,,,V,V,V,,,,,,,,,,,
1444,V,V,,,,,V,V,,V,,,,,,,,,,
1445,V,V,,,,,V,V,,,V,,,,,,,,,
1446,V,V,,,,,V,V,,,,V,,,,,,,,
1447,V,V,,,,,V,V,,,,,,,,,,V,,
1448,V,V,,,,,V,,V,V,,,,,,,,,,
1449,V,V,,,,,V,,V,,V,,,,,,,,,
1450,V,V,,,,,V,,V,,,V,,,,,,,,
1451,V,V,,,,,V,,V,,,,,,,,,V,,
1452,V,V,,,,,V,,,V,V,,,,,,,,,
1453,V,V,,,,,V,,,V,,V,,,,,,,,
1454,V,V,,,,,V,,,V,,,,,,,,V,,
1455,V,V,,,,,V,,,,V,V,,,,,,,,
1456,V,V,,,,,V,,,,V,,,,,,,V,,
1457,V,V,,,,,V,,,,,V,,,,,,V,,
1458,V,V,,,,,,V,V,V,,,,,,,,,,
1459,V,V,,,,,,V,V,,V,,,,,,,,,
1460,V,V,,,,,,V,V,,,V,,,,,,,,
1461,V,V,,,,,,V,V,,,,,,,,,V,,
1462,V,V,,,,,,V,,V,V,,,,,,,,,
1463,V,V,,,,,,V,,V,,V,,,,,,,,
1464,V,V,,,,,,V,,V,,,,,,,,V,,
1465,V,V,,,,,,V,,,V,V,,,,,,,,
1466,V,V,,,,,,V,,,V,,,,,,,V,,
1467,V,V,,,,,,V,,,,V,,,,,,V,,
1468,V,V,,,,,,,V,V,V,,,,,,,,,
1469,V,V,,,,,,,V,V,,V,,,,,,,,
1470,V,V,,,,,,,V,V,,,,,,,,V,,
1471,V,V,,,,,,,V,,V,V,,,,,,,,
1472,V,V,,,,,,,V,,V,,,,,,,V,,
1473,V,V,,,,,,,V,,,V,,,,,,V,,
1474,V,V,,,,,,,,V,V,V,,,,,,,,
1475,V,V,,,,,,,,V,V,,,,,,,V,,
1476,V,V,,,,,,,,V,,V,,,,,,V,,
1477,V,V,,,,,,,,,V,V,,,,,,V,,
1478,V,,V,,,V,V,V,,,,,,,,,,,,
1479,V,,V,,,V,V,,V,,,,,,,,,,,
1480,V,,V,,,V,V,,,V,,,,,,,,,,
1481,V,,V,,,V,V,,,,V,,,,,,,,,
1482,V,,V,,,V,V,,,,,V,,,,,,,,
1483,V,,V,,,V,V,,,,,,,,,,,V,,
1484,V,,V,,,V,,V,V,,,,,,,,,,,
1485,V,,V,,,V,,V,,V,,,,,,,,,,
1486,V,,V,,,V,,V,,,V,,,,,,,,,
1487,V,,V,,,V,,V,,,,V,,,,,,,,
1488,V,,V,,,V,,V,,,,,,,,,,V,,
1489,V,,V,,,V,,,V,V,,,,,,,,,,
1490,V,,V,,,V,,,V,,V,,,,,,,,,
1491,V,,V,,,V,,,V,,,V,,,,,,,,
1492,V,,V,,,V,,,V,,,,,,,,,V,,
1493,V,,V,,,V,,,,V,V,,,,,,,,,
1494,V,,V,,,V,,,,V,,V,,,,,,,,
1495,V,,V,,,V,,,,V,,,,,,,,V,,
1496,V,,V,,,V,,,,,V,V,,,,,,,,
1497,V,,V,,,V,,,,,V,,,,,,,V,,
1498,V,,V,,,V,,,,,,V,,,,,,V,,
1499,V,,V,,,,V,V,V,,,,,,,,,,,
1500,V,,V,,,,V,V,,V,,,,,,,,,,
1501,V,,V,,,,V,V,,,V,,,,,,,,,
1502,V,,V,,,,V,V,,,,V,,,,,,,,
1503,V,,V,,,,V,V,,,,,,,,,,V,,
1504,V,,V,,,,V,,V,V,,,,,,,,,,
1505,V,,V,,,,V,,V,,V,,,,,,,,,
1506,V,,V,,,,V,,V,,,V,,,,,,,,
1507,V,,V,,,,V,,V,,,,,,,,,V,,
1508,V,,V,,,,V,,,V,V,,,,,,,,,
1509,V,,V,,,,V,,,V,,V,,,,,,,,
1510,V,,V,,,,V,,,V,,,,,,,,V,,
1511,V,,V,,,,V,,,,V,V,,,,,,,,
1512,V,,V,,,,V,,,,V,,,,,,,V,,
1513,V,,V,,,,V,,,,,V,,,,,,V,,
1514,V,,V,,,,,V,V,V,,,,,,,,,,
1515,V,,V,,,,,V,V,,V,,,,,,,,,
1516,V,,V,,,,,V,V,,,V,,,,,,,,
1517,V,,V,,,,,V,V,,,,,,,,,V,,
1518,V,,V,,,,,V,,V,V,,,,,,,,,
1519,V,,V,,,,,V,,V,,V,,,,,,,,
1520,V,,V,,,,,V,,V,,,,,,,,V,,
1521,V,,V,,,,,V,,,V,V,,,,,,,,
1522,V,,V,,,,,V,,,V,,,,,,,V,,
1523,V,,V,,,,,V,,,,V,,,,,,V,,
1524,V,,V,,,,,,V,V,V,,,,,,,,,
1525,V,,V,,,,,,V,V,,V,,,,,,,,
1526,V,,V,,,,,,V,V,,,,,,,,V,,
1527,V,,V,,,,,,V,,V,V,,,,,,,,
1528,V,,V,,,,,,V,,V,,,,,,,V,,
1529,V,,V,,,,,,V,,,V,,,,,,V,,
1530,V,,V,,,,,,,V,V,V,,,,,,,,
1531,V,,V,,,,,,,V,V,,,,,,,V,,
1532,V,,V,,,,,,,V,,V,,,,,,V,,
1533,V,,V,,,,,,,,V,V,,,,,,V,,
1534,V,,,,,V,V,V,V,,,,,,,,,,,
1535,V,,,,,V,V,V,,V,,,,,,,,,,
1536,V,,,,,V,V,V,,,V,,,,,,,,,
1537,V,,,,,V,V,V,,,,V,,,,,,,,
1538,V,,,,,V,V,V,,,,,,,,,,V,,
1539,V,,,,,V,V,,V,V,,,,,,,,,,
1540,V,,,,,V,V,,V,,V,,,,,,,,,
1541,V,,,,,V,V,,V,,,V,,,,,,,,
1542,V,,,,,V,V,,V,,,,,,,,,V,,
1543,V,,,,,V,V,,,V,V,,,,,,,,,
1544,V,,,,,V,V,,,V,,V,,,,,,,,
1545,V,,,,,V,V,,,V,,,,,,,,V,,
1546,V,,,,,V,V,,,,V,V,,,,,,,,
1547,V,,,,,V,V,,,,V,,,,,,,V,,
1548,V,,,,,V,V,,,,,V,,,,,,V,,
1549,V,,,,,V,,V,V,V,,,,,,,,,,
1550,V,,,,,V,,V,V,,V,,,,,,,,,
1551,V,,,,,V,,V,V,,,V,,,,,,,,
1552,V,,,,,V,,V,V,,,,,,,,,V,,
1553,V,,,,,V,,V,,V,V,,,,,,,,,
1554,V,,,,,V,,V,,V,,V,,,,,,,,
1555,V,,,,,V,,V,,V,,,,,,,,V,,
1556,V,,,,,V,,V,,,V,V,,,,,,,,
1557,V,,,,,V,,V,,,V,,,,,,,V,,
1558,V,,,,,V,,V,,,,V,,,,,,V,,
1559,V,,,,,V,,,V,V,V,,,,,,,,,
1560,V,,,,,V,,,V,V,,V,,,,,,,,
1561,V,,,,,V,,,V,V,,,,,,,,V,,
1562,V,,,,,V,,,V,,V,V,,,,,,,,
1563,V,,,,,V,,,V,,V,,,,,,,V,,
1564,V,,,,,V,,,V,,,V,,,,,,V,,
1565,V,,,,,V,,,,V,V,V,,,,,,,,
1566,V,,,,,V,,,,V,V,,,,,,,V,,
1567,V,,,,,V,,,,V,,V,,,,,,V,,
1568,V,,,,,V,,,,,V,V,,,,,,V,,
1569,V,,,,,,V,V,V,V,,,,,,,,,,
1570,V,,,,,,V,V,V,,V,,,,,,,,,
1571,V,,,,,,V,V,V,,,V,,,,,,,,
1572,V,,,,,,V,V,V,,,,,,,,,V,,
