ID,PVP1V1Rate,PVP1V1AddHPRate,DynamicAtt,MAX_HP,HP_RATE,HP_RECOVER,EnergyRecoverRate,ATTACK,ATK_RATE,DEFENSE,DEF_RATE,RESILIENCE,Penetration_RATE,SPEED,Walk_Speed,SPD_RATE,ATK_SPEED,CRT_RATE,CRT_DMG_Rate,CRT_Resist_Rate,WEIGHT,VAMPIRE,VAMPIRE_Value,BONUS_SKILL,Scale,DamageReduce,HitFlyValue,IRT_VALUE,Friction,ImmunityStatusAnimationLimitType
1631111,,,SkillAttack+26005+0.25&SkillAttack+26007+0.25,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631112,,,SkillAttack+26005+0.3&SkillAttack+26007+0.3,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631113,,,SkillAttack+27005+0.15&SkillAttack+27007+0.15,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631114,,,SkillAttack+27005+0.2&SkillAttack+27007+0.2,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631115,,,SkillAttack+27005+0.25&SkillAttack+27007+0.25,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631116,,,SkillAttack+27005+0.3&SkillAttack+27007+0.3,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631117,,,SkillAttack+28005+0.15&SkillAttack+28007+0.15,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631118,,,SkillAttack+28005+0.2&SkillAttack+28007+0.2,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631119,,,SkillAttack+28005+0.25&SkillAttack+28007+0.25,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631120,,,SkillAttack+28005+0.3&SkillAttack+28007+0.3,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631121,,,SkillAttack+29005+0.15&SkillAttack+29007+0.15,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631122,,,SkillAttack+29005+0.2&SkillAttack+29007+0.2,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631123,,,SkillAttack+29005+0.25&SkillAttack+29007+0.25,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631124,,,SkillAttack+29005+0.3&SkillAttack+29007+0.3,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631125,,,SkillAttack+30005+0.15&SkillAttack+30007+0.15,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631126,,,SkillAttack+30005+0.2&SkillAttack+30007+0.2,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631127,,,SkillAttack+30005+0.25&SkillAttack+30007+0.25,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631128,,,SkillAttack+30005+0.3&SkillAttack+30007+0.3,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631129,,,SkillAttack+31005+0.15&SkillAttack+31007+0.15,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631130,,,SkillAttack+31005+0.2&SkillAttack+31007+0.2,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631131,,,SkillAttack+31005+0.25&SkillAttack+31007+0.25,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631132,,,SkillAttack+31005+0.3&SkillAttack+31007+0.3,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631133,,,SkillAttack+32005+0.15&SkillAttack+32007+0.15,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631134,,,SkillAttack+32005+0.2&SkillAttack+32007+0.2,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631135,,,SkillAttack+32005+0.25&SkillAttack+32007+0.25,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631136,,,SkillAttack+32005+0.3&SkillAttack+32007+0.3,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631137,,,SkillAttack+33005+0.15&SkillAttack+33007+0.15,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631138,,,SkillAttack+33005+0.2&SkillAttack+33007+0.2,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631139,,,SkillAttack+33005+0.25&SkillAttack+33007+0.25,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631140,,,SkillAttack+34005+0.3&SkillAttack+34007+0.3,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631141,,,SkillAttack+34005+0.15&SkillAttack+34007+0.15,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631142,,,SkillAttack+34005+0.2&SkillAttack+34007+0.2,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631143,,,SkillAttack+34005+0.25&SkillAttack+34007+0.25,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631144,,,SkillAttack+34005+0.3&SkillAttack+34007+0.3,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631145,,,SkillAttack+35005+0.15&SkillAttack+35007+0.15,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631146,,,SkillAttack+35005+0.2&SkillAttack+35007+0.2,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631147,,,SkillAttack+35005+0.25&SkillAttack+35007+0.25,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631148,,,SkillAttack+35005+0.3&SkillAttack+35007+0.3,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631149,,,SkillAttack+36005+0.15&SkillAttack+36007+0.15,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631150,,,SkillAttack+36005+0.2&SkillAttack+36007+0.2,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631151,,,SkillAttack+36005+0.25&SkillAttack+36007+0.25,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631152,,,SkillAttack+36005+0.3&SkillAttack+36007+0.3,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631153,,,SkillAttack+37005+0.15&SkillAttack+37007+0.15,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631154,,,SkillAttack+37005+0.2&SkillAttack+37007+0.2,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631155,,,SkillAttack+37005+0.25&SkillAttack+37007+0.25,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631156,,,SkillAttack+37005+0.3&SkillAttack+37007+0.3,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631157,,,SkillAttack+38005+0.15&SkillAttack+38007+0.15,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631158,,,SkillAttack+38005+0.2&SkillAttack+38007+0.2,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631159,,,SkillAttack+38005+0.25&SkillAttack+38007+0.25,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631160,,,SkillAttack+38005+0.3&SkillAttack+38007+0.3,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631161,,,SkillAttack+39005+0.15&SkillAttack+39007+0.15,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631162,,,SkillAttack+39005+0.2&SkillAttack+39007+0.2,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631163,,,SkillAttack+39005+0.25&SkillAttack+39007+0.25,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631164,,,SkillAttack+39005+0.3&SkillAttack+39007+0.3,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631165,,,SkillAttack+40005+0.15&SkillAttack+40007+0.15,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631166,,,SkillAttack+40005+0.2&SkillAttack+40007+0.2,,0.06,,,,,,,,,,,,,,,,,,,,,,,,,
1631167,,,SkillAttack+40005+0.25&SkillAttack+40007+0.25,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631168,,,SkillAttack+40005+0.3&SkillAttack+40007+0.3,,0.1,,,,,,,,,,,,,,,,,,,,,,,,,
1631169,,,SkillAttack+41005+0.15&SkillAttack+41007+0.15,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631170,,,SkillAttack+41005+0.2&SkillAttack+41007+0.2,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631171,,,SkillAttack+41005+0.25&SkillAttack+41007+0.25,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631172,,,SkillAttack+41005+0.3&SkillAttack+41007+0.3,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631173,,,SkillAttack+42005+0.15&SkillAttack+42007+0.15,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631174,,,SkillAttack+42005+0.2&SkillAttack+42007+0.2,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
1631175,,,SkillAttack+42005+0.25&SkillAttack+42007+0.25,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
1631176,,,SkillAttack+42005+0.3&SkillAttack+42007+0.3,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
16310131,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,
16310141,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,
16310151,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,
16310161,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,
16310251,,,,,,,,,0.2,,,,,,,,,,,,,,,,,,,,,
16310261,,,,,,,,,0.25,,,,,,,,,,,,,,,,,,,,,
16310271,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,
16310281,,,,,,,,,0.35,,,,,,,,,,,,,,,,,,,,,
16310171,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,,,
16310181,,,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,,,
16310191,,,,,,,,,-0.3,,,,,,,,,,,,,,,,,,,,,
16310201,,,,,,,,,-0.35,,,,,,,,,,,,,,,,,,,,,
16310211,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,
16310221,,,,,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,
16310231,,,,,,,,,,,-0.3,,,,,,,,,,,,,,,,,,,
16310241,,,,,,,,,,,-0.35,,,,,,,,,,,,,,,,,,,
16310371,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
16310381,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,
16310391,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,
16310401,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,
16410091,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,
16410101,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,
16410111,,,,,,,,,0.11,,,,,,,,,,,,,,,,,,,,,
16410121,,,,,,,,,0.16,,,,,,,,,,,,,,,,,,,,,
4502,,,,,,,,,,,,,,,,-0.5,,,,,,,,,,,,,,
4503,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,,,
4504,,,,,,,,,,,,,,,,-0.3,,,,,,,,,,,,,,
4505,,,,,,,,,,,,,,,,-0.4,,,,,,,,,,,,,,
4506,,,,,,,,,,,,,,,,-0.7,,,,,,,,,,,,,,
4001,,,,,,,,,,,,,,,,0.3,,,,,,,,,,,,,,
4002,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,,,
4003,,,,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,
4004,,,,,,,,,,,,,,,,0.16,,,,,,,,,,,,,,
8007,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,5000,1-2-3-4-5
5001,,,,,,,10000,,,,,,,,,,,,,,,,,,,,,,,
5002,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,
5003,,,,,,,1.3,,,,,,,,,,,,,,,,,,,,,,,
5004,,,EnergeRecover+37001+0.5&EnergeRecover+37002+0.5&EnergeRecover+37003+0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
5005,,,,,,,,,,,,,0.5,,,,,,,,,,,,,,,,,
5006,,,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,,
5008,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
5009,,,,,,,,,,,1.5,,,,,,,,,,,,,,,,,,,
5010,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,
5011,,,,,,,,,,,,,,,,-0.1,,,-0.1,,,,,,,,,,,
5012,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,
5013,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,
1001,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,
5501,,,,,,,-10000,,,,,,,,,,,,,,-19,,,,,,,,,
2002,,,,,,,,,,,0.5,,,,,,,,,,5000,,,,,,,,5000,
2003,,,,,,,,,,,,,,,,,,,,,5000,,,,,,,,5000,
2004,,,,,,,,,,,0.7,,,,,0.3,,,,,5000,,,,,,,,5000,
30098,,,,1,,,,1,,,,,,,,,,,,,20,,,,,,,,10,
30099,,,,1000,,,,2,,356,,,,6.9,,,,,,,20,,,,,,,,10,
1501,,,,,,,,,-0.5,,,,,,,,,,,,,,,,,,,,,
1502,,,,,,,,,-0.25,,,,,,,,,,,,,,,,,,,,,
2501,,,,,,,,,,,-0.5,,,,,,,,,,,,,,,,,,,
5502,,,,,,,-600,,,,,,,,,,,,,,,,,,,,,,,
7023,,,,,,,,,,,,,,,,,,,,,,,,7023,,,,,,
7024,,,,,,,,,,,,,,,,,,,,,,,,7024,,,,,,
9003,,,SkillAttack+24005+0.15&SkillAttack+24007+0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
9004,,,SkillAttack+24005+0.3&SkillAttack+24007+0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
9005,,,SkillAttack+24005+0.45&SkillAttack+24007+0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
9006,,,SkillAttack+34005+0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
9007,,,SkillAttack+34005+0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
9008,,,SkillAttack+34005+0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
9009,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
9010,,,,,,,,,0.06,,,,,,,,,,,,,,,,,,,,,
9011,,,,,,,,,0.09,,,,,,,,,,,,,,,,,,,,,
9012,,,,,,,,,0.04,,,,,,,,,,,,,,,,,,,,,
9013,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,
9014,,,,,,,,,0.12,,,,,,,,,,,,,,,,,,,,,
9015,,,,,,,,,0.05,,,,,,,,,,,,,,,,,,,,,
9016,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,
9017,,,,,,,,,0.15,,,,,,,,,,,,,,,,,,,,,
9018,,,,,,,,,0.07,,,,,,,,,,,,,,,,,,,,,
9019,,,,,,,,,0.14,,,,,,,,,,,,,,,,,,,,,
9020,,,,,,,,,0.21,,,,,,,,,,,,,,,,,,,,,
9021,,,SkillAttack+37001+0.35&SkillAttack+37002+0.35&SkillAttack+37003+0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,
9022,,,SkillAttack+37001+0.7&SkillAttack+37002+0.7&SkillAttack+37003+0.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
9023,,,SkillAttack+37001+1.05&SkillAttack+37002+1.05&SkillAttack+37003+1.05,,,,,,,,,,,,,,,,,,,,,,,,,,,
9024,,,SkillAttack+34007+0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,
9025,,,SkillAttack+34007+0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
9026,,,SkillAttack+34007+0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,
9027,,,SkillAttack+34007+0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
9028,,,SkillAttack+34007+0.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
9029,,,,,,,,,,,-0.2,,,,,,,,,,,,,,,,,,,
9030,,,,,,,,,,,-0.4,,,,,,,,,,,,,,,,,,,
9031,,,,,,,,,,,-0.6,,,,,,,,,,,,,,,,,,,
9032,,,,,,,,,,,,,,,,,,-0.04,,,,,,,,,,,,
9033,,,,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,
9034,,,,,,,,,,,,,,,,,,-0.1,,,,,,,,,,,,
9035,,,,,,,,,,,,,,,,,,-0.14,,,,,,,,,,,,
9036,,,,,,,,,,,,,,,,,,-0.18,-0.16,,,,,,,,,,,
9037,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,,
9038,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,
9039,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,
9040,,,,,,,,,,,,,,,,,,0.14,,,,,,,,,,,,
9041,,,,,,,,,,,,,,,,,,0.18,0.16,,,,,,,,,,,
9042,,,,,,,,,-0.12,,,,,,,,,,,,,,,,,,,,,
9043,,,,,,,,,,,,,,,,0.5,,0.3,,,,,,,,,,,,
9044,,,,,,,,,,,,,,,,,,,,-0.06,,,,,,,,,,
9045,,,SkillAttack+41005+0.15&SkillAttack+41007+0.15,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,
9046,,,SkillAttack+41005+0.3&SkillAttack+41007+0.3,,,,,,,,,,,,,,,0.1,,,,,,,,,,,,
9047,,,SkillAttack+41005+0.45&SkillAttack+41007+0.45,,,,,,,,,,,,,,,0.15,,,,,,,,,,,,
9048,,,,,,,,,0.3,,,,,,,,,,,,,,,,,,,,,
9049,,,,250000,,,,,,,,,,,,,,,,,,,,,,,,,,
9050,,,,,,,,24000,,,,,,,,,,,,,,,,,,,,,,
2021,,,,,,,,,,,,,,,,,,-0.2,,,,,,,,,,,,
3000,,,,,,,,,,,,,,,,,,,,,,,,991033,,,,,,
3001,,,,,,,,,0.03,,,,,,,,,,,,,,,,,,,,,
3002,,,,,,,,,,,0.15,,,,,,,,,,,,,995508,,,,,,
3003,,,,,,,,,,,,,,,,,,,,,,,,997030,,,,,,
3004,,,,,,,,,,,,,,,,,,,0.15,,,,,,,,,,,
3005,,,,,,,,,,,,,,,,,,,,,,,,999074,,,,,,
3006,,,,,,,,,,,,,,,,,,,,,,,,991512,,,,,,
3007,,,,,,,,,-0.2,,-0.15,,,,,,,,,,,,,,,,,,,
3008,,,,,,,,,,,,,,,,,,,,,,,,996012,,,,,,
3009,,,,,,,,,,,,,,,,,,,,,,,,993018,,,,,,
3010,,,,,,,,,,,,,,,,,,,,,,,,996013,,,,,,
3011,,,,,,,,,,,,,,,,,,,,,,,,998030,,,,,,
3012,,,,,,,,,,,,,,,,,,,,,,,,996014,,,,,,
3013,,,,,,,,,,,,,,,,,,,,,,,,999075,,,,,,
3014,,,,,,,,,,,,,,,,,,,,,,,,991034,,,,,,
3015,,,,,,,,,0.1,,0.35,,,,,,,,,,,,,,,,,,,
3016,,,,,,,,,,,,,,,,,,,,,,,,998031,,,,,,
3017,,,,,,,,,,,,,,,,,,,,,,,,994529,,,,,,
3018,,,,,,,,,,,,,,,,,,,,,,,,995509,,,,,,
3019,,,,,,,,,0.1,,,,0.1,,,,,,,,,,,,,,,,,
3020,,,,,,,,,,,,,,,,,,,,0.2,,,,,,0.1,,,,
3021,,,,,,,,,,,,,,,,,,,,,,,,993019,,,,,,
3022,,,,,,,,,,,,,,,,,,,0.04,,,,,,,,,,,
3023,,,,,,,,,,,,,,,,,,,0.05,,,,,,,,,,,
3024,,,,,,,,,,,,,,,,,,,0.06,,,,,,,,,,,
3025,,,,,,,,,,,,,,,,,,,0.07,,,,,,,,,,,
3026,,,,,,,,,,,,,,,,,,,0.08,,,,,,,,,,,
3027,,,,,,,,,,,,,,,,,,,0.09,,,,,,,,,,,
3028,,,,,,,,,,,,,,,,,,,0.1,,,,,,,,,,,
3029,,,,,,,,,,,,,,,,,,,0.11,,,,,,,,,,,
3030,,,,,,,,,,,,,,,,,,,0.12,,,,,,,,,,,
3031,,,,,,,,,,,,,,,,,,,0.13,,,,,,,,,,,
101,,-0.5,,3430,,143,,386,,168,,,,9.6,,,,0.1,0.3,,20,,,,,,,,10,
102,,-0.5,,3840,,160,,408,,185,,,,9.6,,,,0.1,0.3,,20,,,,,,,,10,
201,,-0.5,,4720,,197,,463,,300,,,,9.9,,,,0.1,0.3,,20,,,,,,,,10,
202,,-0.5,,5600,,233,,505,,375,,,,10.4,,,,0.1,0.3,,20,,,,,,,,10,
209,,,,,0.2,,,,0.15,,0.1,,,,,,,,,,,,,,,,,,,
301,,-0.5,,3960,,165,,388,,354,,,,9.8,,,,0.1,0.3,,20,,,,,,,,10,
302,,-0.5,,4860,,203,,437,,409,,,,9.8,,,,0.1,0.3,,20,,,,,,,,10,
401,,-0.5,,3770,,157,,438,,185,,,,9.6,,,,0.1,0.3,,20,,,,,,,,10,
402,,-0.5,,4460,,186,,493,,252,,,,10,,,,0.1,0.3,,20,,,,,,,,10,
501,,-0.5,,2970,,124,,400,,278,,,,10.1,,,,0.1,0.3,,20,,,,,,,,10,
502,,-0.5,,3500,,146,,421,,300,,,,10.1,,,,0.1,0.3,,20,,,,,,,,10,
601,,-0.5,,4020,,146,,392,,300,,,,10.2,,,,0.1,0.3,,20,,,,,,,,10,
602,,-0.5,,5000,,187,,434,,353,,,,10.2,,,,0.1,0.3,,20,,,,,,,,10,
701,,-0.5,,3600,,150,,347,,188,,,,9.7,,,,0.1,0.3,,20,,,,,,,,10,
702,,-0.5,,3960,,165,,367,,221,,,,9.7,,,,0.1,0.3,,20,,,,,,,,10,
801,,-0.5,,4370,,160,,442,,235,,,,10.3,,,,0.1,0.3,,20,,,,,,,,10,
802,,-0.5,,5070,,190,,480,,274,,,,10.3,,,,0.1,0.3,,20,,,,,,,,10,
901,,-0.5,,4120,,172,,493,,210,,,,10.6,,,,0.1,0.3,,20,,,9005,,,,,10,
902,,-0.5,,4970,,207,,532,,256,,,,10.6,,,,0.1,0.3,,20,,,9005,,,,,10,
10001,-0.2,-0.5,,4370,,182,,463,,257,,,,10,,,,0.1,0.3,,20,,,,,,,,10,
10002,-0.2,-0.5,,5250,,219,,497,,289,,,,10,,,,0.1,0.3,,20,,,,,,,,10,
11001,,-0.5,PVP1V1BuffHP+996003+-0.3,5040,,210,,428,,387,,,,10.3,,,,0.1,0.3,,20,,,,,,,,10,
11002,,-0.5,PVP1V1BuffHP+996003+-0.3,6120,,255,,490,,420,,,,10.3,,,,0.1,0.3,,20,,,,,,,,10,
11009,,,EnergeRecover+11001+0.5&EnergeRecover+11002+0.5&EnergeRecover+11003+0.5&EnergeRecover+11005+0.5&EnergeRecover+11007+0.5&SkillAttack+11005+0.2&SkillAttack+11007+0.2,,0.15,,,,0.1,,0.2,,,,,,,,,,,,,,,,,,,
12001,,-0.5,,4800,,200,,472,,347,,,,10.4,,,,0.1,0.3,,20,,,,,,,,10,
12002,,-0.5,,5830,,243,,528,,399,,,,10.4,,,,0.1,0.3,,20,,,,,,,,10,
13001,,-0.5,,4630,,193,,498,,284,,,,10.5,,,,0.1,0.3,,20,,,,,,,,10,
13002,,-0.5,,5760,,240,,558,,347,,,,10.5,,,,0.1,0.3,,20,,,,,,,,10,
14001,,-0.5,,4970,,207,,457,,376,,,,10.5,,,,0.1,0.3,,20,,,,,,,,10,
14002,,-0.5,,6120,,255,,510,,442,,,,10.5,,,,0.1,0.3,,20,,,,,,,,10,
15001,,-0.5,,4730,,197,,485,,326,,,,10.4,,,,0.1,0.3,,20,,,,,,,,10,
15002,,-0.5,,5830,,243,,528,,378,,,,10.4,,,,0.1,0.3,,20,,,,,,,,10,
16001,,-0.5,,5250,,219,,505,,385,,,,10.5,,,,0.1,0.3,,20,,,,,,,,10,
16002,,-0.5,,6370,,265,,564,,428,,,,10.5,,,,0.1,0.3,,20,,,,,,,,10,
17001,,-0.5,,4770,,199,,476,,372,,,,10.6,,,,0.1,0.3,,20,,,,,,,,10,
17002,,-0.5,,5830,,243,,536,,420,,,,10.6,,,,0.1,0.3,,20,,,,,,,,10,
18001,,-0.5,,5040,,210,,477,,378,,,,10.5,,,,0.1,0.3,,20,,,,,,,,10,
18002,,-0.5,,6300,,263,,522,,449,,,,10.5,,,,0.1,0.3,,20,,,,,,,,10,
18009,,,EnergeRecover+18005+-0.4&EnergeRecover+18007+-0.4,,,,,,-0.1,,-0.15,,,,,,,,,,,,,,,,,,,
19001,,-0.5,,5600,,233,,488,,364,,,,10.5,,,,0.1,0.3,,20,,,,,,,,10,
19002,,-0.5,,7000,,292,,526,,407,,,,10.5,,,,0.1,0.3,,20,,,,,,,,10,
20001,,-0.5,,5010,,209,,502,,313,,,,10.6,,,,0.1,0.3,,20,,,20005,,,,,10,
20002,,-0.5,,6350,,265,,549,,357,,,,10.6,,,,0.1,0.3,,20,,,20005,,,,,10,
21001,,-0.5,,4900,,204,,490,,376,,,,10.5,,,,0.1,0.3,,20,,,,,,,,10,
21002,,-0.5,,6340,,264,,534,,446,,,,10.5,,,,0.1,0.3,,20,,,,,,,,10,
22001,,-0.5,,5420,,226,,484,,396,,,,10.6,,,,0.1,0.3,,20,,,,,,,,10,
22002,,-0.5,,7000,,292,,518,,460,,,,10.6,,,,0.1,0.3,,20,,,,,,,,10,
22009,,,EnergeRecover+22005+-0.5&EnergeRecover+22007+-0.5,,-0.1,,,,,,-0.2,,,,,,,,,,,,,,,,,,,
90001,,-0.5,,4970,,207,,511,,294,,,,10.6,,,,0.1,0.3,,20,,,,,,,,10,
90002,,-0.5,,6690,,279,,575,,368,,,,10.6,,,,0.1,0.3,,20,,,,,,,,10,
91001,,-0.5,,5040,,210,,488,,371,,,,10.6,,,,0.1,0.3,,20,,,,,,,,10,
91002,,-0.5,,6480,,270,,514,,433,,,,10.6,,,,0.1,0.3,,20,,,,,,,,10,
91009,,,SkillAttack+91005+-0.2&SkillAttack+91007+-0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
23001,,-0.5,,4990,,208,,508,,305,,,,10.6,,,,0.1,0.3,,20,,,,,,,,10,
23002,,-0.5,,6860,,286,,579,,399,,,,10.6,,,,0.1,0.3,,20,,,,,,,,10,
24001,,-0.5,,5010,,209,,494,,362,,,,10.6,,,,0.1,0.3,,20,,,24005,,,,,10,
24002,,-0.5,,6660,,278,,539,,431,,,,10.6,,,,0.1,0.3,,20,,,24007-24008-24009,,,,,10,
25001,,-0.5,,5350,,223,,505,,392,,,,10.5,,,,0.1,0.3,,20,,,,,,,,10,
25002,,-0.5,,7000,,292,,552,,460,,,,10.5,,,,0.1,0.3,,20,,,,,,,,10,
26001,,-0.5,,5080,,212,,515,,311,,,,10.6,,,,0.1,0.3,,20,,,,,,,,10,
26002,,-0.5,,6520,,272,,592,,389,,,,10.6,,,,0.1,0.3,,20,,,,,,,,10,
27001,,-0.5,,5390,,225,,514,,407,,,,10.7,,,,0.1,0.3,,20,,,,,,,,10,
27002,,-0.5,,7350,,306,,610,,492,,,,10.7,,,,0.1,0.3,,20,,,,,,,,10,
28001,,-0.5,,5040,,210,,526,,307,,,,10.8,,,,0.1,0.3,,20,,,28005,,,,,10,
28002,,-0.5,,6790,,283,,596,,387,,,,10.8,,,,0.1,0.3,,20,,,28007,,,,,10,
29001,,-0.5,,5280,,220,,514,,387,,,,10.5,,,,0.1,0.3,,20,,,,,,,,10,
29002,,-0.5,,6790,,283,,601,,452,,,,10.5,,,,0.1,0.3,,20,,,,,,,,10,
30001,,-0.5,,5210,,217,,523,,336,,,,10.6,,,,0.1,0.3,,20,,,999999,,,,,10,
30002,,-0.5,,7550,,315,,613,,416,,,,10.6,,,,0.1,0.3,,20,,,999998,,,,,10,
31001,,-0.5,,5220,,218,,494,,362,,,,10.6,,,,0.1,0.3,,20,,,,,,,,10,
31002,,-0.5,,7960,,332,,567,,475,,,,10.6,,,,0.1,0.3,,20,,,993529,,,,,10,
